Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,470u,CAP-SMD_BD12.5-L13.0-W13.0-RD,-28.584407,32.973237,-90.000000,top
C2,47u,C_1206_3216Metric,-13.090407,-16.937763,0.000000,top
C3,100n,C_0805_2012Metric,-13.090407,-19.731763,0.000000,top
C4,22p,C_0805_2012Metric,-88.827407,4.906237,90.000000,top
C5,22p,C_0805_2012Metric,-88.827407,1.096237,90.000000,top
C6,100n,C_0805_2012Metric,-67.237407,3.316237,-90.000000,top
C7,100n,C_0805_2012Metric,-85.480407,9.478237,90.000000,top
C8,100n,C_0805_2012Metric,-88.020407,9.478237,90.000000,top
C9,100n,C_0805_2012Metric,-67.237407,7.446237,90.000000,top
C10,100n,C_0805_2012Metric,-91.328000,4.888000,90.000000,top
C11,100n,C_0805_2012Metric,-33.664407,-2.713763,180.000000,top
C12,100n,C_0805_2012Metric,-87.766407,-8.431763,180.000000,top
C13,100n,C_0805_2012Metric,-72.055907,-21.663763,0.000000,top
C14,100n,C_0805_2012Metric,-72.780407,-11.603763,180.000000,top
C15,22u,CP_Elec_6.3x7.7,-14.360407,12.780237,180.000000,top
C16,100n,C_0805_2012Metric,-8.975607,17.606237,0.000000,top
C17,10u,C_0805_2012Metric,-53.476407,28.782237,0.000000,top
C18,470u,CAP-SMD_BD12.5-L13.0-W13.0-RD,-44.459407,32.973237,90.000000,top
C19,1u,C_0805_2012Metric,-57.540407,7.446237,0.000000,top
C20,1u,C_0805_2012Metric,-42.028000,19.188000,0.000000,top
C21,1u,C_0805_2012Metric,-42.028000,15.488000,0.000000,top
C22,10u,C_0805_2012Metric,-21.128000,9.888000,180.000000,top
C23,470u,CAP-SMD_BD12.5-L13.0-W13.0-RD,-16.519407,0.588237,90.000000,top
C24,1u,C_0805_2012Metric,-47.380407,4.398237,0.000000,top
CN1,24V in,CONN-TH_2P-P5.08_KF142R-5.08-2P,-0.644407,36.068000,90.000000,top
CN2,Shaft Eye,CONN-TH_3P-P2.54_KF141R-2.54-3P,-0.644407,-21.001763,90.000000,top
CN3,Film End Eye,CONN-TH_3P-P2.54_KF141R-2.54-3P,-0.635000,-10.541000,90.000000,top
CN4,Fan,CONN-TH_3P-P2.54_KF141R-2.54-3P,-0.644407,-0.127000,90.000000,top
CN5,Motor,CONN-TH_2P-P5.08_KF142R-5.08-2P,-0.635000,23.114000,90.000000,top
CN6,Lamp,CONN-TH_3P-P2.54_KF141R-2.54-3P,-0.644407,10.287000,90.000000,top
D1,TTR5MF,DIO-BG-TH_TTF,-14.605000,36.195000,0.000000,top
D2,Power (gr),LED_0805_2012Metric,-93.928000,49.088000,-90.000000,top
D3,Film End (re),LED_0805_2012Metric,1.895593,-26.335763,0.000000,top
D4,1N4007,D_SOD-123F,-8.128000,-10.414000,-90.000000,top
D5,SS54,D_SMA,-53.476407,10.494237,0.000000,top
D6,LED (wh),LED_0805_2012Metric,-87.004407,-26.081763,0.000000,top
D7,LED (ye),LED_0805_2012Metric,-25.536407,-0.173763,180.000000,top
D8,LED (ye),LED_0805_2012Metric,-29.600407,-0.173763,180.000000,top
J2,Raspi UART,PinHeader_1x02_P2.54mm_Vertical,-27.528000,-24.012000,-90.000000,top
J3,ICSP,PinHeader_2x03_P2.54mm_Vertical,-73.602407,-2.073763,-90.000000,top
J4,FTDI,PinHeader_1x06_P2.54mm_Vertical,-99.128000,49.428000,0.000000,top
J5,Shaft Eye,PinHeader_1x03_P2.54mm_Vertical,-12.170000,53.169500,-90.000000,top
J6,Film End Eye,PinHeader_1x03_P2.54mm_Vertical,-0.518000,53.169500,-90.000000,top
J7,Target,PinHeader_1x03_P2.54mm_Vertical,6.495500,49.784000,0.000000,top
L1,47uH,IND-SMD_L13.8-W12.6_YSPI13XX,-30.128000,16.088000,0.000000,top
Q1,IRLML2502,SOT-23,-37.855407,-3.033763,0.000000,top
Q2,IRLML6402,SOT-23,-32.394407,-6.716763,0.000000,top
Q3,DMMT5401,SOT-23-6,-26.994407,-9.958263,90.000000,top
Q4,DMG2305UX,SOT-23,-26.994407,-4.878263,180.000000,top
Q5,SS8050,SOT-23,-71.510407,-17.445763,90.000000,top
Q6,SS8050,SOT-23,-11.762500,-12.380000,0.000000,top
Q7,IRF7470,SOIC-8_3.9x4.9mm_P1.27mm,-61.722000,27.686000,0.000000,top
R1,220R,R_0805_2012Metric,-41.148000,-11.095763,0.000000,top
R2,10K,R_0805_2012Metric,-36.506907,-6.716763,90.000000,top
R3,47K,R_0805_2012Metric,-41.665407,-3.033763,90.000000,top
R4,10K,R_0805_2012Metric,-90.528000,9.488000,90.000000,top
R5,10K,R_0805_2012Metric,-31.782907,-11.095763,180.000000,top
R6,47K,R_0805_2012Metric,-37.084000,-11.095763,0.000000,top
R7,100K,R_0805_2012Metric,-87.004407,-23.541763,0.000000,top
R8,47K,R_0805_2012Metric,-74.304407,-26.081763,0.000000,top
R9,22K,R_0805_2012Metric,-61.604407,-26.081763,0.000000,top
R10,10K,R_0805_2012Metric,-48.904407,-26.081763,0.000000,top
