Comment,Designator,Footprint,LCSC
"470u","C1,C18,C23","easyeda2kicad:CAP-SMD_BD12.5-L13.0-W13.0-RD","C90272"
"22u","C15","Capacitor_SMD:CP_Elec_6.3x7.7","C267472"
"10u","C17,C22","Capacitor_SMD:C_0805_2012Metric","C15850"
"1u","C19,C20,C21,C24","Capacitor_SMD:C_0805_2012Metric","C28323"
"47u","C2","Capacitor_SMD:C_1206_3216Metric","C96123"
"100n","C3,C6,C7,C8,C9,C10,C11,C12,C13,C14,C16","Capacitor_SMD:C_0805_2012Metric","C28233"
"22p","C4,C5","Capacitor_SMD:C_0805_2012Metric","C1804"
"24V in","CN1","easyeda2kicad:CONN-TH_2P-P5.08_KF142R-5.08-2P","C475144"
"Shaft Eye","CN2","easyeda2kicad:CONN-TH_3P-P2.54_KF141R-2.54-3P","C475125"
"Film End Eye","CN3","easyeda2kicad:CONN-TH_3P-P2.54_KF141R-2.54-3P","C475125"
"Fan","CN4","easyeda2kicad:CONN-TH_3P-P2.54_KF141R-2.54-3P","C475125"
"Motor","CN5","easyeda2kicad:CONN-TH_2P-P5.08_KF142R-5.08-2P","C475144"
"Lamp","CN6","easyeda2kicad:CONN-TH_3P-P2.54_KF141R-2.54-3P","C475125"
"TTR5MF","D1","easyeda2kicad:DIO-BG-TH_TTF","C911077"
"Power (gr)","D2","LED_SMD:LED_0805_2012Metric","C2297"
"Film End (re)","D3","LED_SMD:LED_0805_2012Metric","C84256"
"1N4007","D4","Diode_SMD:D_SOD-123F","C64898"
"SS54","D5","Diode_SMD:D_SMA","C22452"
"LED (wh)","D6","LED_SMD:LED_0805_2012Metric","C34499"
"LED (ye)","D7,D8","LED_SMD:LED_0805_2012Metric","C2296"
"Raspi GPIO","J1","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical",""
"47uH","L1","easyeda2kicad:IND-SMD_L13.8-W12.6_YSPI13XX","C497913"
"IRLML2502","Q1","Package_TO_SOT_SMD:SOT-23","C347503"
"IRLML6402","Q2","Package_TO_SOT_SMD:SOT-23","C2886430"
"DMMT5401","Q3","Package_TO_SOT_SMD:SOT-23-6","C154733"
"DMG2305UX","Q4","Package_TO_SOT_SMD:SOT-23","C2940629"
"SS8050","Q5,Q6","Package_TO_SOT_SMD:SOT-23","C2150"
"IRF7470","Q7","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C693168"
"220R","R1,R17","Resistor_SMD:R_0805_2012Metric","C17557"
"300R","R18","Resistor_SMD:R_0805_2012Metric","C17617"
"100R","R19,R20","Resistor_SMD:R_0402_1005Metric","C25076"
"10K","R2,R4,R5,R10,R14,R37","Resistor_SMD:R_0805_2012Metric","C17414"
"47K","R21,R22","Resistor_SMD:R_0402_1005Metric","C25792"
"470K","R23,R24","Resistor_SMD:R_0805_2012Metric","C17709"
"3K","R25,R26","Resistor_SMD:R_0805_2012Metric","C17661"
"3K3","R27,R28","Resistor_SMD:R_0805_2012Metric","C26010"
"2K2","R29,R33","Resistor_SMD:R_0805_2012Metric","C17520"
"47K","R3,R6,R8,R12,R31,R41,R42","Resistor_SMD:R_0805_2012Metric","C17713"
"30K","R30","Resistor_SMD:R_0805_2012Metric","C17621"
"150R","R32","Resistor_SMD:R_0805_2012Metric","C17471"
"71K5","R34","Resistor_SMD:R_0805_2012Metric","C101850"
"270R","R35","Resistor_SMD:R_0805_2012Metric","C104550"
"90K9","R36","Resistor_SMD:R_0805_2012Metric","C229044"
"0.05R","R38","Resistor_SMD:R_2512_6332Metric","C127698"
"1K","R39,R40","Resistor_SMD:R_0805_2012Metric","C17513"
"100K","R7,R11,R15,R16","Resistor_SMD:R_0805_2012Metric","C149504"
"22K","R9,R13","Resistor_SMD:R_0805_2012Metric","C17560"
"10K","RV1,RV2","easyeda2kicad:RES-TH_RK09K1110A0J","C209767"
"10K","RV3,RV4,RV5","easyeda2kicad:RES-ADJ-TH_3P-L10.0-W10.0-P2.50-L","C118954"
"Reset","SW1","Button_Switch_SMD:SW_Push_1P1T_XKB_TS-1187A","C318884"
"Power","SW10","easyeda2kicad:KEY-TH_4P-L7.3-W10.2-P4.50-LS7.0","C231320"
"Target","SW11","easyeda2kicad:SW-SMD_3P-P1.50_L2.7-W6.6","C319020"
"Lamp","SW2","easyeda2kicad:KEY-TH_4P-L12.0-W12.0-P5.0-LS12.5-EH-small","C93156"
"Zoom","SW3","easyeda2kicad:KEY-TH_4P-L12.0-W12.0-P5.0-LS12.5-EH-small","C93156"
"<<","SW4","easyeda2kicad:KEY-TH_4P-L12.0-W12.0-P5.0-LS12.5-EH-small","C93156"
"<","SW5","easyeda2kicad:KEY-TH_4P-L12.0-W12.0-P5.0-LS12.5-EH-small","C93156"
"Stop","SW6","easyeda2kicad:KEY-TH_4P-L12.0-W12.0-P5.0-LS12.5-EH-small","C93156"
">","SW7","easyeda2kicad:KEY-TH_4P-L12.0-W12.0-P5.0-LS12.5-EH-small","C93156"
">>","SW8","easyeda2kicad:KEY-TH_4P-L12.0-W12.0-P5.0-LS12.5-EH-small","C93156"
"Rec","SW9","easyeda2kicad:KEY-TH_4P-L12.0-W12.0-P5.0-LS12.5-EH-small","C93156"
"ATmega328P","U1","Package_QFP:TQFP-32_7x7mm_P0.8mm","C14877"
"74LVC14","U2","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","C6065"
"QRE1113","U3,U4","Peacemans_Footprints:QRE1113GR-slim","C232862"
"DRV8871DDA","U5","Package_SO:Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias","C75864"
"78L05","U6","Package_TO_SOT_SMD:SOT-89-3","C71136"
"XL4015","U7","Package_TO_SOT_SMD:TO-263-5_TabPin3","C51661"
"TL431","U8","Package_TO_SOT_SMD:SOT-23","C181103"
"LM358","U9","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C7950"
"8MHz","Y1","Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm","C115962"
